Event URL,Emoji,Event Name,Start,End,Location,Description,City,Organizer,Last Modified,Approved (Newsletter),Start Date (Parsed),Start Time (Parsed),End Date (Parsed),End Time (Parsed),Cleaned Event URL for Newsletter,Datetime for Newsletter,Short Datetime,FOR NEWSLETTER Short Headline,FOR NEWSLETTER Long Description
https://www.eventbrite.com/e/women-in-tech-new-york-2023-tickets-574408600587?aff=ebdssbdestsearch,,Women in Tech New York 2023,"May 12, 2023, 5:00 PM","May 12, 2023, 7:00 PM",Looking for Host contact partnerships womentech net NYC NY 10001,"WomenTech is bringing the community together for an informal meetup in New York City after being apart for two years. The event aims to bring diversity, equality, and a sense of belonging to the tech community. The event is invite-only, with a focus on tech leaders, software engineers, product managers, data, UX & design professionals and other tech roles. While most attendees are women, the event is open to everyone who supports and promotes diversity and inclusion. Different packages are available, including a 10-minute keynote speaking slot, speaker feature on social media, company profile on WomenTech website, logo featured on Global Conference website, and 5 job posts on WomenTech job board. Ask about bundle packages and possibilities for global outreach if interested in involvement in the Women in Tech Global Conference and in-person locations. To host, connect with Anna Radulovski via email at nyc@womentech.net.",,https://www.eventbrite.com/o/womentech-network-25542467391,,,,,,,,,,,
https://www.eventbrite.com/e/creative-climate-awards-opening-night-2023-tickets-558018066057?aff=ebdssbdestsearch,,Creative Climate Awards - Opening Night 2023,"April 19, 2023, 7:00 PM","April 19, 2023, 9:30 PM",Taipei Economic and Cultural Office TECO 1 East 42nd Street New York NY 10017,"Join us for the Opening Night of the Human Impacts Institute's Creative Climate Awards (CCA). Enjoy live performances and meet the participating artists of our 2023 CCA. This event is part of the Human Impacts Institute's 2023 Creative Climate Awards, a month-long festival that connects us to climate action for a better world. The festival will run from April 19th - May 12th in NYC. Don't miss this inspiring event packed with innovative ways to address climate change. Learn more by visiting the Human Impacts Institute Creative Climate Awards page: https://www.humanimpactsinstitute.org/cca2023. This event is made possible by our sponsors: New York City Department of Cultural Affairs, Taipei Economic and Cultural Office, Dumbo BID, Queens Botanic Garden, and the New York City DOT Arts Program. See the image below by Mollie Hosmer-Dillard: ""The Invention of the Individual"".",,https://www.eventbrite.com/o/human-impacts-institute-10881727595,,,,,,,,,,,
https://www.eventbrite.com/e/new-york-tech-career-fair-exclusive-tech-hiring-event-tickets-146584912419?aff=ebdssbdestsearch,,New York Tech Career Fair: Exclusive Tech Hiring Event,"April 21, 2023, 12:00 PM","April 21, 2023, 3:00 PM",Moved to Virtual Event Online New York NY 10119,"We are pleased to announce the hosting of a virtual Tech Career Fair where our partnering companies, including fast-growing startups and Fortune 500 technology companies, will be present. We aim to assist these companies in attaining their diversity goals by introducing more diverse candidates to their talent pool. The available roles include Software Engineering, Product Management, Data Scientist, AI/Machine Learning Engineer, Data Analyst, UI/UX Design, Marketing, and Sales. In order to be visible and accessible to hiring partners and companies on the platform, we advise you to complete the sign-up form provided in the link below and upload your resume. Completed and approved profiles will be visible to different companies, which will then invite candidates to a career fair. This is an invite-only event due to the limited number of spaces, and applicants will have to go through an approval process before receiving an invitation. Therefore, it is recommended to create a complete profile and upload a resume to the platform to increase chances of approval. Companies wishing to participate in this event can sign up on the provided link. Please note that companies may sign up for a waitlist if necessary.",,https://www.eventbrite.com/o/tech-career-fair-12448110053,,,,,,,,,,,
https://www.eventbrite.com/e/responsible-tech-mixer-nyc-special-guest-douglas-rushkoff-in-person-tickets-547793293487?aff=ebdssbdestsearch,,Responsible Tech Mixer NYC + special guest Douglas Rushkoff! (in-person),"April 26, 2023, 6:00 PM","April 26, 2023, 8:30 PM",Betaworks 29 Little West 12th Street New York NY 10014,"Join us for the Responsible Tech Mixer hosted by All Tech is Human, where people from diverse backgrounds come together to connect, learn and collaborate. Special guest Douglas Rushkoff will be sharing his insights on ""Crashing Technosolutionism"". Rushkoff, an influential author and documentarian, is known for his work on human autonomy in the digital age. During the mixer, there will be a giveaway of his recent book, Survival of the Richest. All Tech is Human is a non-profit organization committed to addressing complex tech & society issues and building a responsible tech future aligning with public interests. They have various activities including building a mentorship program, hosting mixers, summits, and livestreams. You can get involved by joining their Slack community or by exploring their job board and talent pool. If you're interested in Responsible Tech, join us at the mixer in NYC on April 26th.",,https://www.eventbrite.com/o/all-tech-is-human-30037722440,,,,,,,,,,,
https://www.eventbrite.com/e/women-in-climate-investing-finance-being-green-by-investing-green-tickets-594178853947?aff=ebdssbdestsearch,,Women in Climate Investing & Finance - Being Green by Investing Green,None,None,Norton Rose Fulbright 1301 6th Avenue New York NY 10019,"Join Women in Climate Investing & Finance for an evening of cocktails and connection, aimed at building a community of empowered women working together to fight climate change. The event is ideal for those in clean and renewable energy investing, sustainable energy and infrastructure, climate tech, energy transition and ESG. To sign up for the event in advance, please use the link provided. There is a 20% discount code available. The agenda includes check-in and networking, welcome remarks from several organizations, and small group networking. Refreshments and light appetizers will be provided by Norton Rose Fulbright, who are co-hosting the event with several sponsors. Women in Climate Investing & Finance exists to provide a space for women to connect and support each other within climate investing and finance. All attendees are welcome, even if new to the field. Connect with Women in Climate Investing & Finance on LinkedIn, Twitter, and Instagram. Note that the organization reserves the right to use any photograph or video taken at the event without explicit permission.",,https://www.eventbrite.com/o/women-in-climate-investing-amp-finance-42852461053,,,,,,,,,,,
https://www.eventbrite.com/e/good-trouble-a-speaker-series-tickets-496411699757?aff=ebdssbdestsearch,,Good Trouble: A Speaker Series,2023-08-09 00:00:00,2023-08,City Tech New Academic Building 285 Jay Street Brooklyn NY 11201,"The event titled ""Good Trouble: Creativity + Collaboration"" will feature architects, academics, and change makers who will explore solutions to pressing problems in the built environment while using the AIA framework for design excellence as an anchor. The event will focus on sustainability, inclusivity, and resilience in the borough, city, and beyond. It is an in-person program that will include refreshments and will start promptly at 6 PM. The event is sponsored by KPF and Henning Larsen, and it is open to AIA Brooklyn members, City Tech students and faculty, and NYC residents. Visitors to the City Tech campus must provide proof of full vaccination or a negative COVID-19 PCR test performed by an accredited lab no more than 7 days prior to the visit. The event will occur every third Wednesday of the month, and upcoming events will focus on Design for Integration and Design for Ecosystems. Past events have explored Design for Energy, Design for Change, and Design for Water.",,https://www.eventbrite.com/o/aia-brooklyn-33024449195,,,,,,,,,,,
https://www.eventbrite.com/e/tech-and-startup-networking-mixer-registration-247280050287?aff=ebdssbdestsearch,,Tech and Startup Networking Mixer,2023-08-09 00:00:00,2023-08,Sour Mouse 110 Delancey Street New York NY 10002,"This is an invitation to attend a networking mixer in the startup space called Startup+. The event is open to tech founders, SaaS founders, entrepreneurs, recruiters, freelancers, startup mentors, coaches, and engineers. The aim is to connect with like-minded individuals and organizations in the startup ecosystem. The event will be an excellent opportunity to make new connections, share ideas, and learn from the experiences of others. Attendees can network with potential investors, customers, partners, and mentors. The dress code is business casual, and attendees are advised to bring their business cards as name tags will be provided. Photos and videos taken during the event may be used to promote future events. Register now to secure your spot.",,https://www.eventbrite.com/o/startup-46370163803,,,,,,,,,,,
https://www.eventbrite.com/e/earning-green-by-investing-green-tickets-526167058837?aff=ebdssbdestsearch,,Earning Green by Investing Green,"April 27, 2023, 8:45 AM","April 27, 2023, 5:30 PM",Norton Rose Fulbright 1301 6th Avenue New York NY 10019,"This event is for informational purposes and tickets can be obtained by clicking on the provided link. It is important to note that both speakers and agenda may be subject to changes. The event has been co-produced by Financial Poise Productions, ReFED, Tech Up for Women, Women in Climate Investing and Finance, Women + in Climate Tech, and Women of Renewable Industries and Sustainable Energy (WRISE). Additionally, the NYC Metro Chapter of the Private Directors Association and Private Director Symposium have been listed as associate producers. Interested parties looking to become an associate producer for the event are advised to email info@financialpoise.com.",,https://www.eventbrite.com/o/financial-poise-productions-30878530181,,,,,,,,,,,
https://www.eventbrite.com/e/ny-fintech-week-accelerating-the-adoption-of-climate-technologies-tickets-604061643637?aff=ebdssbdestsearch,,NY FinTech Week: Accelerating the Adoption of Climate Technologies,"April 27, 2023, 6:00 PM","April 27, 2023, 8:00 PM",75 Greene St Street Floor 2 New York NY 10012,"Join Tenet for a happy hour networking event and discussion during NYC FinTech Week. Meet other climate fintech companies and listen to Alex Liegl, CEO of Tenet, and XXX of New York Green Bank during a discussion moderated by Auto Finance News' Joey Pizzolato. Together, we will discuss ""Building Digital Financial Infrastructure to Make EVs More Affordable"" and ""Using Fintech to Leverage Public and Private Capital to Catalyze Decarbonization."" This event will be hosted at Tenet’s SoHo office space.",,https://www.eventbrite.com/o/tenet-51365860593,,,,,,,,,,,
https://www.eventbrite.com/e/climate-tech-society-a-fireside-with-chante-harris-and-stephan-nicoleau-tickets-594707324617?aff=ebdssbdestsearch,,"Climate, Tech & Society: A Fireside with Chante Harris and Stephan Nicoleau","April 12, 2023, 4:00 PM","April 12, 2023, 6:00 PM",Verizon Executive Education Center 2 West Loop Road New York NY 10044,"Join us for a fireside chat with Chante Harris and Stephan Nicoleau, who are leaders in social and financial innovation around climate technology at SecondMUSE and FullCycle respectively. The event will be moderated by Michael Samuelian, Director of the Urban Tech Hub at Cornell Tech. The talk will be live-streamed, but if you wish to attend in person, please reserve a spot through the attached RSVP link. The Zoom live stream link is also available. The event includes a fireside chat, followed by Q&A, refreshments, and networking opportunities. 

Chante Harris is a champion of social and financial innovation and has successfully scaled nationwide campaigns, technologies, and ideas for various organizations, including the Obama Administration, Fortune 500 companies, and startups. She has spent the last two years leading climate investment and partnerships at SecondMUSE, sourcing, funding, and scaling the best early-stage climate tech solutions across the globe. Chante is also the co-founder of Women of Color Collective in Sustainability (WOC/CS), a global digital collective and community dedicated to advancing women of color working in the sustainability industry.

Stephan Nicoleau is a General Partner at FullCycle, a sustainable infrastructure fund that is accelerating climate solutions globally. He represents FullCycle within GFANZ - the Glasgow Financial Alliance for Net Zero - and serves on the board of Project Drawdown and other organizations. He is a noted thought leader among investors in the climate and infrastructure sectors and frequently speaks on topics related to climate, innovation, finance, and policy. 

The event is a great opportunity to gain insights into climate technology and sustainability from two leaders in the industry.",,https://www.eventbrite.com/o/cornell-tech-62833908903,,,,,,,,,,,
https://www.eventbrite.com/e/we-outside-tickets-590387483857?aff=ebdssbdestsearch,,We Outside,"April 7, 2023, 7:00 PM","April 7, 2023, 10:00 PM",275 Park Ave Avenue Brooklyn NY 11205,"Join us for a night of comedy at 275 Park as we kick off the Spring season. Hosted by Chris Grant and Ray Dejon, this event features some of the funniest comedians in the city. Chris also hosts a monthly show downtown where comics practice their craft in preparation for big shows like this one. Don't miss out on this limited seating event, get your tickets now. Here's what to expect: patrons will be seated and servers will take orders while music plays. Then, the DJ will warm up the crowd for approximately 30 minutes before Chris Grant opens the show. Three comics will perform, each for 15 minutes, with a host break in between during which CFU will interact with the audience and servers will drop checks. The show concludes with the closer.",,https://www.eventbrite.com/o/chris-grant-26571152129,,,,,,,,,,,
https://www.eventbrite.com/e/silicon-alley-nyc-startup-tech-mixer-tickets-607554119727?aff=ebdssbdestsearch,,Silicon Alley NYC Startup & Tech Mixer,"April 27, 2023, 6:00 PM","April 27, 2023, 9:00 PM",5th Mad 7 East 36th Street New York NY 10016,"Get ready for an exciting opportunity to network with some of the most successful companies in NYC! This premier tech networking event has one of the largest membership groups in Southern California and is growing every month. Meet potential clients, find your next job, start a conversation with a new cofounder, make new friends, and get some great advice from the founder. The event will take place from 6:00-9:00PM, and guests can enjoy drinks while mingling with top companies and top talent in the industry. Past attendees have included Google, Sony, Electronic Arts, Hulu, and many others. Social Proof is a professional networking group in Los Angeles that focuses on tech, startups, and entrepreneurship, and their goal is to connect people through networking events, online networking events, and summits. Enjoy the most successful Startup & Tech Mixer in NYC and mingle with highly successful men and women in the startup, tech, and entrepreneurial space. This event is an opportunity to forge strong, lasting relationships within the Silicon Beach community, combining Fortune 500/1000s with Entrepreneurs and Startups. The event includes a cash bar, and there are no refunds, substitutions, or exchanges once tickets are purchased. If you can't make it to this event, contact the organizers for free access to the next one. Please note, companies who sponsor events or billboards are not guaranteed to be present, and food and drinks are not provided for free because the organizers are a startup networking organization focused on making lasting offline connections.",,https://www.eventbrite.com/o/social-proof-nyc-61787122333,,,,,,,,,,,
https://www.eventbrite.com/e/climate-tech-founders-forum-tickets-587645271827?aff=ebdssbdestsearch,,Climate Tech Founders Forum,2023-08-09 00:00:00,2023-08,Online,"This event is for founders looking for connections in the climate tech space, including co-founders, strategic partnerships, and advice from peers. It is aimed at early-stage to Series A founders and will be held every two weeks. Each session will involve two founders presenting their startups and challenges, followed by separate break-out room discussions where founders can discuss their win of the week, challenge of the week, and question to the group. There will also be networking roulette to connect with other group members. Upon registration, attendees will receive a login link via email. Startup Basecamp's events are open to everyone and attendees are encouraged to review event etiquette before attending. Interested individuals can also join Startup Basecamp.",,https://www.eventbrite.com/o/startup-basecamp-10966312574,,,,,,,,,,,
https://www.eventbrite.com/e/climate-tech-bulusmalar-izmir-tickets-593790532467?aff=ebdssbdestsearch,,Climate Tech Buluşmaları: İzmir,2023-04-27 17:00:00,2023-04,İzQ İnovasyon Merkezi No 126 Atatürk Caddesi İzmir 35210 Turkey,"The Climate Tech Community is a community that aims to bring together professionals, entrepreneurs, academics, and young people who are interested in developing technology-based solutions for one of today's most important problems, ""climate change"". The community has several working areas such as community meetings, a dataset of technology-based solutions for climate change and sustainability, a knowledge pool of reports, educational articles, and content for entrepreneurs and sustainability enthusiasts, acceleration programs, and a platform for interaction between firms, working entrepreneurs and investors in the field. The agenda has four main events including a welcome address, an introduction to the Climate Tech Community, a presentation on why we talk about climate technologies in 2023, and speeches from entrepreneurs. There will also be a coffee break and a closing networking session.",,https://www.eventbrite.com/o/climate-tech-community-54841571443,,,,,,,,,,,
https://www.eventbrite.com/e/climate-tech-accelerator-showcase-tickets-591730410587?aff=ebdssbdestsearch,,Climate Tech Accelerator Showcase,"April 24, 2023, 5:30 PM","April 24, 2023, 8:00 PM",The Birchwood 340 Beach Drive NE Grand Ballroom St Petersburg FL 33701,"I'm sorry, I cannot see the description. Please provide it for me to clean.",,https://www.eventbrite.com/o/tampa-bay-innovation-center-5472806341,,,,,,,,,,,
