Event Name	Short Description	Start	End	Location	City	Relevance	Event URL
Socially Inept: Tech Roast Show	Renegade tech comedians roast whimpering techies on stage in front of a live crowd.	2023-05-26 20:00	2023-05-26 21:30	333 West 23rd Street New York, NY 10011	New York	TRUE.	https://www.eventbrite.com/e/socially-inept-tech-roast-show-tickets-632247979727
Starta Spring 2023 Pitch Contests	Meet International Tech Startups and Network with Investors & Industry Experts!	2023-05-25 18:00	2023-05-25 21:00	220 East 23rd Street Suite 400 New York, NY 10010	New York	TRUE	https://www.eventbrite.com/e/starta-spring-2023-pitch-contests-tickets-577544149097
Desi Cruise : Memorial Day Weekend Bollywood WhiteParty @ Pier 83 NYC	Join a four-hour scenic cruise on May 27 with views of landmarks including the Statue of Liberty, Freedom Tower, Empire State Building and the Brooklyn Bridge. Expect to dance away on our nightclub on the water and take plenty of snaps of the view!	2023-05-27 18:00	2023-05-27 22:00	Pier 83 Midtown, 12th Avenue & 42nd Street New York, NY 10036	New York	FALSE	https://www.eventbrite.com/e/desi-cruise-memorial-day-weekend-bollywood-whiteparty-pier-83-nyc-tickets-421744247397
CCG at New York Climate Week, hosted by WRI and Paramount	Join CCG members and WRI thought leaders in-person at NYC Climate Week for a breakfast panel and discussion.	2023-09-20 08:30	2023-09-20 10:00	Paramount Building 1501 Broadway New York, NY 10036	New York	TRUE	https://www.eventbrite.com/e/ccg-at-new-york-climate-week-hosted-by-wri-and-paramount-tickets-636534149777
2023 HITLAB Digital Health Summit NYC	A three-day digital health summit featuring panel interviews, keynote addresses from industry leaders, and breakout workshops, taking place live and in person at Columbia University in NYC from June 27th to June 29th, with a virtual audience option available	2023-06-27 09:00	2023-06-29 17:00	Columbia University, Lerner Hall New York, NY 10027	New York	TRUE	https://www.eventbrite.com/e/2023-hitlab-digital-health-summit-nyc-tickets-488864024457
Earth Protectors	The artistic and scientific community comes together with the public to reflect on the consequence of global warming for life on Earth.	2023-05-27 18:30	2023-05-27 20:30	46 Barrow Street New York, NY 10014	New York	TRUE	https://www.eventbrite.com/e/earth-protectors-tickets-635630135847
LATIN VIBES SUNSET YACHT PARTY - MEMORIAL DAY WEEKEND	DrinkUpinNYC Presents the Latin Vibes Yacht Party Memorial Day Weekend	2023-05-27 06:00	2023-05-27 22:00	Skyport Marina Cabana Yacht 23rd St FDR Drive New York, NY 10010	New York	FALSE	https://www.eventbrite.com/e/latin-vibes-sunset-yacht-party-memorial-day-weekend-tickets-615168675067
QA Financial E-commerce and Retailing Forum New York 2023	The latest technologies for automating app development and quality management	2023-10-19 09:00	2023-10-19 17:00	Harvard Club of New York City, 35 West 44th Street, New York, NY 10036	New York	FALSE	https://www.eventbrite.co.uk/e/qa-financial-e-commerce-and-retailing-forum-new-york-2023-tickets-507499814607
DSS NYC: AI and Machine Learning in Finance & Technology	Annual one-day 150 person conference focused on AI and machine learning applications in finance & technology	2023-06-07 08:00	2023-06-07 20:00	55 Water Street New York, NY 10041	New York	FALSE	https://www.eventbrite.com/e/dss-nyc-ai-and-machine-learning-in-finance-technology-tickets-381298713717
Yedoye Travis: Steve Harvey Caused Climate Change	 A comedy event featuring Yedoye Travis	 2023-06-01 22:00	 2023-06-01 23:30	 702 Union St. Brooklyn, NY 11215	 Brooklyn	 FALSE.	https://www.eventbrite.com/e/yedoye-travis-steve-harvey-caused-climate-change-tickets-641003016277
LATINO NYC SUNSET BOOZE CRUISE	Elevate your NYC nightlife experience with Latin Vibes on the Water! The Cabana Yacht is the place to be as you party the night away with your favorite people. Indulge in the mouthwatering buffet-style tacos and quench your thirst with our refreshing drinks while taking in the stunning views of the city skyline. With amazing live music and a lively atmosphere, this yacht party is not to be missed!	2023-06-03 18:00	2023-06-03 22:00	Skyport Marina Cabana Yacht 23rd St FDR Drive New York, NY 10010	New York	FALSE	https://www.eventbrite.com/e/latino-nyc-sunset-booze-cruise-tickets-615212666647
Music Technology Camp at West Caldwell Tech	Students will create, modify sounds, and program drum beats and patterns. They will also be introduced to songwriting and musical arranging.	2023-07-17 09:00	2023-07-21 12:30	Essex County West Caldwell Tech, 620 Passaic Avenue West Caldwell, NJ 07006	West Caldwell	FALSE	https://www.eventbrite.com/e/717-721-music-technology-camp-at-west-caldwell-tech-tickets-598591803197
NY Climate Tech + MCJ June Meetup	 Network, exchange ideas & learn about climate tech.	 2023-06-08 17:00	 2023-06-08 20:00	 189 Bowery New York, NY 10002	 New York	 TRUE.	https://www.eventbrite.com/e/ny-climate-tech-mcj-june-meetup-tickets-640669237937
HOUSE IN THE HUDSON - WHITE PARTY	Exclusive JKRUZ B-DAY WHITE PARTY	2023-06-24 13:00	2023-06-24 17:00	Skyport Marina 2430 FDR Drive New York, NY 10010	New York	FALSE	https://www.eventbrite.com/e/house-in-the-hudson-white-party-tickets-619512527647
Make It in Brooklyn Panel: Clean Energy Innovations - Diversity and Access	 Hear expert panelists discuss issues of diversity and access in the Clean Energy sector at both the executive and workforce levels.	 2023-06-14 17:30	 2023-06-14 19:30	 Gotham Market at The Ashland, 590 Fulton Street, Brooklyn, NY 11201	 Brooklyn	 TRUE	https://www.eventbrite.com/e/make-it-in-brooklyn-panel-clean-energy-innovations-diversity-and-access-tickets-635516826937
MIT Sloan Sustainability Initiative NYC Alumni Meetup	Engage with the Sustainability Initiative team and fellow sustainability certificate alumni during this cocktail-style event hosted by MUUS Climate Partners (MCP)	2023-06-13 18:00	 2023-06-13 20:00	1995 Broadway 17th floor, New York, NY 10023	New York	TRUE.	https://www.eventbrite.com/e/mit-sloan-sustainability-initiative-nyc-alumni-meetup-tickets-642316354507
Desi Cruise :  An All White Yacht Party On The Hudson @ Pier 83	Climb aboard a one-of-a-kind Bollywood Boat Party, for an opportunity to view New York City from the comfort of multiple climate-controlled decks (indoor and outdoor).	2023-05-27 18:00	2023-05-27 23:00	Pier 83 Midtown, 12th Avenue & 42nd Street New York, NY 10036	New York	FALSE	https://www.eventbrite.com/e/desi-cruise-an-all-white-yacht-party-on-the-hudson-pier-83-tickets-602975525027
The Cafe Wha? Cruise feat. The Cafe Wha? House Band	A 4 hour cruise featuring live music from The Cafe Wha? House Band aboard the Hornblower Infinity	2023-06-12 18:00	2023-06-12 22:00	353 West Street New York, NY 10014	New York	FALSE.	https://www.eventbrite.com/e/the-cafe-wha-cruise-feat-the-cafe-wha-house-band-tickets-615233569167
US - ISRAEL Technology MeetUp @Goodwin - New York	Join us at the 'US – ISRAEL Technology MeetUp', sponsored by Goodwin Law, where delegates from select startup companies on the cutting-edge of Israeli technological innovation, will present short pitches and demonstrations.	2023-07-10 16:00	2023-07-10 18:30	Goodwin Law, 620 Eighth Avenue, 26th floor The New York Times Building New York, NY 10018	New York	TRUE.	https://www.eventbrite.co.uk/e/us-israel-technology-meetup-goodwin-new-york-tickets-636080482847
Bollywood Cruise : An All White Yacht Party On The Hudson @ Pier83	Climb aboard the #1 Desi Cruise Party on Manhattan waters to celebrate The Weekend while dancing to Bollywood & the views of New York City!	2023-05-27 18:00	2023-05-27 23:00	Pier 83 Midtown,12th Avenue & 42nd Street New York, NY 10036	New York	FALSE	https://www.eventbrite.com/e/bollywood-cruise-an-all-white-yacht-party-on-the-hudson-pier83-tickets-533870299437
Environmental Justice Symposium	Our 10 speakers, who are experts in their fields, will share their expertise on combating climate change.	2023-05-25 10:00	2023-05-25 16:00	1901 1st Avenue New York, NY 10029	New York	TRUE	https://www.eventbrite.com/e/environmental-justice-symposium-tickets-627327713077
"""The Seas Are Rising"""	An environmental concert featuring Dan Sheehan and his band	2023-06-21 19:00	2023-06-21 20:00	31 Engle Street Englewood, NJ 07631	Englewood	TRUE	https://www.eventbrite.com/e/the-seas-are-rising-an-environmental-concert-tickets-543150617117
Tech Connect - Technology Landscape	This Event will give you a fair idea about current and future technology landscape	2023-06-03 16:00	2023-06-03 18:00	3146 New Jersey 27 #suite 103 South Brunswick Township, NJ 08824	South Brunswick Township	FALSE	https://www.eventbrite.com/e/tech-connect-technology-landscape-tickets-635899471437
FPA/OTR Elizabeth French Hitchcock Lecture 2023	Annual lecture delivered by Professor Karen C. Seto, Hixon Professor of Geography and Urbanization at the Yale School of the Environment on how cities can mitigate climate change	2023-05-31 13:00	2023-05-31 14:00	42 West 44th Street New York, NY 10036	New York	TRUE	https://www.eventbrite.com/e/fpaotr-elizabeth-french-hitchcock-lecture-2023-tickets-542982012817
Beauty: The Power of the Human Touch & Technology	A tour showcasing the latest virtual artistry and personalization capabilities in the beauty industry.	2023-06-19 14:00	2023-06-19 16:00	225 West 57th Street New York, NY 10019	New York	FALSE	https://www.eventbrite.com/e/beauty-the-power-of-the-human-touch-technology-tickets-632450014017
World Law Congress New York 2023	The World Law Congress New York 2023 will gather +250 high-level panelists from around the world in a single day	2023-07-20 08:00	2023-07-20 18:00	42 West 44th Street New York, NY 10036	New York	TRUE	https://www.eventbrite.es/e/world-law-congress-new-york-2023-tickets-558912922597
Big Data Overview 1 Day Training in New York City, NY	This is a one-day training course designed to provide an understanding of Big Data, potential sources, technologies such as Hadoop, and data mining tools for solving real business problems.	2023-06-14 09:00	2023-06-14 17:00	Reach out to info@mangates.com	New York City	FALSE	https://www.eventbrite.com/e/big-data-overview-1-day-training-in-new-york-city-ny-tickets-592216243727
Applied Panarchy in Environmental Science (HS)	Explore NGSS aligned active learning strategies for deepening understanding of crucial concepts in environmental and sustainability science.	2023-07-31 09:00	2023-08-04 15:00	160 Convent Ave New York, NY 10031	New York	TRUE	https://www.eventbrite.com/e/applied-panarchy-in-environmental-science-hs-tickets-558639354347
Climate Cafe (6/1)	Join us for a Climate Cafe on June 1st to discuss the difficult emotions that arise out of the ongoing climate emergency.	2023-06-01 18:30	2023-06-01 20:00	Neighbor 176 9th Avenue New York, NY 10011	New York	TRUE	https://www.eventbrite.com/e/climate-cafe-61-tickets-633635409567
KindLink US Launch	Corporate Responsibility (CSR) in the Digital Age: KindLink US Launch	2023-05-30 18:00	2023-05-30 20:30	220 East 23rd Street New York, NY 10010	New York	TRUE.	https://www.eventbrite.co.uk/e/corporate-responsibility-csr-in-the-digital-age-kindlink-us-launch-tickets-612556843007
Chloe Capital Founder Fellowship Showcase	Join us as Chloe Capital & NYCEDC spotlight 20 of New York City's most innovative tech-based companies led by women	2023-05-30 17:00	2023-05-30 20:00	Company Ventures, 335 Madison Avenue 7th Floor, New York, NY 10017	New York	TRUE	https://www.eventbrite.com/e/chloe-capital-founder-fellowship-showcase-tickets-622136405737
Youth Climate Career Expo	 A career expo for high school students interested in climate action	 2023-06-22 14:00	 2023-06-22 17:00	 High School for Climate Justice, 320 East 96th Street, New York, NY 10128	 New York	 TRUE	https://www.eventbrite.com/e/youth-climate-career-expo-registration-634256607587
COLOR: Bacteria Dyeing + Extinction	In this workshop, participants will explore color theory through learning to dye and silkscreen with bacteria.	2023-06-11 10:00	2023-06-18 13:00	132 32nd Street #108 Brooklyn, NY 11232	New York	TRUE	https://www.eventbrite.com/e/color-bacteria-dyeing-extinction-tickets-631828575277
Space Tech Summit (Third Edition)	100 Global Speakers, Partners, Attendees Will Convene For 3rd Annual Global Space Tech Summit	2023-09-29 10:00	2023-09-29 13:00	Location TBA, Virtual New York, NY 10013	New York	TRUE	https://www.eventbrite.com/e/space-tech-summit-third-edition-tickets-69881985901
Tipsy Crayon Mashup	Cocktails & Coloring: Tipsy Crayon is celebrating our most popular themes by combining them into one event. It's a Mashup!	2023-05-27 12:00	2023-05-27 15:30	The Armory, 149 4th Avenue Brooklyn, NY 11217	New York	FALSE	https://www.eventbrite.com/e/tipsy-crayon-mashup-tickets-634738739657
Climate Resiliency in Community Gardens	Learn about design principles, green infrastructure, native plants, and other strategies to enhance climate resiliency in community gardens	2023-08-26 13:00	2023-08-26 15:00	The Garden by the Bay, 4-80 Beach 43rd Street Queens, NY 11691	New York	TRUE	https://www.eventbrite.com/e/climate-resiliency-in-community-gardens-tickets-626526757397
Protecting New York Summit	Tools for Keeping New York Safe, Prepared & Resilient	2023-07-20 09:00	2023-07-20 15:30	36 Battery Place New York, NY 10280	New York	FALSE	https://www.eventbrite.com/e/2023-protecting-new-york-summit-tickets-631043206217
FoodHack NYC Meet Up: Advances in Agriculture	Join us for our next FoodHack NYC Meetup in collaboration with Newlab for a discussion about advances in agriculture!	2023-06-08 18:30	2023-06-08 20:30	19 Morris Ave Brooklyn, NY 11205	Brooklyn	FALSE	https://www.eventbrite.com/e/foodhack-nyc-meet-up-advances-in-agriculture-tickets-636774528757
Mitigating Technology Abuse in Intimate Partner Violence	Learn  how Cornell Tech's Clinic to End Tech Abuse helps survivors navigate technology abuse and empowers their use of technology.	2023-06-01 18:30	2023-06-01 19:30	Bloomberg Center 2 West Loop Road New York, NY 10044	New York	FALSE	https://www.eventbrite.com/e/mitigating-technology-abuse-in-intimate-partner-violence-tickets-638145379007
Psychedelics Today - Tales of Transformation	" 
Psychedelics Today presents a panel on how psychedelic experiences can evolve into collective transformation and new life callings."	" 
2023-06-08 19:00"	" 
2023-06-08 21:30"	" 
222 E 46th St, 222 East 46th Street New York, NY 10017"	" 
New York"	" 
TRUE"	https://www.eventbrite.com/e/psychedelics-today-tales-of-transformation-tickets-635532353377
The BIG HotBox Comedy Show presented by PAX	The HotBox is not your average talk show. Come laugh and listen with stoned comedians as they are interviewed by yours truly, Danit Sibs.	2023-06-03 20:00	2023-06-03 22:00	The Speakeasy, 212 East 52nd Street Third/Top Floor, New York, NY 10022	New York	FALSE	https://www.eventbrite.com/e/the-big-hotbox-comedy-show-presented-by-pax-tickets-631796047987
Climate Fresk Workshop	Come learn all about Climate Change and how YOU can change the course in this fun workshop game.	2023-06-10 10:00	2023-06-10 13:00	21 A Clinton Street New York, NY 10002	New York	TRUE	https://www.eventbrite.com/e/climate-fresk-workshop-tickets-622642900677
New York Tech Career Fair: Exclusive Tech Hiring Event	Tech Career Fair focus on helping companies achieve their diversity and inclusivity initiative with more diverse non-traditional candidates	2023-06-23 12:00	2023-06-23 15:00	Online New York, NY 10119	New York	FALSE.	https://www.eventbrite.com/e/new-york-tech-career-fair-exclusive-tech-hiring-event-tickets-146584912419
Wall Street Green Summit 2024	The 23rd Annual Wall Street Green Summit will focus on ESG Investing, Carbon Trading, Clean Energy, Energy Storage and Nature-Based Solution	2024-03-12 07:00	2024-03-13 17:30	Cornell Club 6 East 44th Street New York, NY 10017	New York	TRUE	https://www.eventbrite.com/e/wall-street-green-summit-2024-tickets-608775322377
Auto Technology Camp at West Caldwell Tech 	This week-long interactive, hands-on automotive class, will teach students the basics of automotive. 	2023-07-10 09:00 	2023-07-14 12:30 	620 Passaic Avenue West Caldwell, NJ 07006 	West Caldwell 	FALSE.	https://www.eventbrite.com/e/710-714-auto-technology-camp-at-west-caldwell-tech-tickets-599949102917
VR Tech Summit (3rd Annual)	To accelerate developments within the VR tech industry, the Global Startup Ecosystem (GSE) is to host the 3rd annual VR Tech Summit	2023-09-28 10:00	2023-09-28 12:00	VIRTUAL EVENT	New York	FALSE	https://www.eventbrite.com/e/vr-tech-summit-3rd-annual-tickets-150406187957
"Keller Easterling, ""Trust Land"""	A lecture by Keller Easterling at e-flux discussing models for collective forms of urban and rural landholding for social and climate justice work.	2023-06-06 19:00	2023-06-06 21:00	172 Classon Avenue Brooklyn, NY 11205	Brooklyn	FALSE	https://www.eventbrite.com/e/keller-easterling-trust-land-tickets-634971656317
Climate Education on Chancellor's Day	Bring climate education into your classroom! Join in-person workshops with educator content created by teachers, for teachers!	2023-06-08 09:00	2023-06-08 14:30	Teachers College, Columbia University	New York	TRUE	https://www.eventbrite.com/e/climate-education-on-chancellors-day-registration-626556586617
Startup Pitch and Networking	An evening of networking and startup pitches by hand-selected NYC startups in a top-shelf venue	2023-06-28 17:00	2023-06-28 20:00	110 Delancey Street New York, NY 10002	New York	TRUE	https://www.eventbrite.com/e/startup-pitch-and-networking-registration-638328867827
Music Technology Camp at Payne Tech	Students will create, modify sounds, and program drum beats and patterns. They will also be introduced to songwriting and musical arranging.	2023-07-10 09:00	2023-07-14 12:30	Essex County Payne Tech, 498 – 544 West Market Street Newark, NJ 07107	Newark	FALSE	https://www.eventbrite.com/e/710-714-music-technology-camp-at-payne-tech-tickets-598568222667
The Brunch Club | Memorial Weekend Yacht Party	Brunch in style with our Yacht & Brunch event in the heart of NYC!	2023-05-28 13:00	2023-05-28 17:00	Skyport Marina, 2430 FDR Drive Jewel Yacht, New York, NY 10010	New York	FALSE	https://www.eventbrite.com/e/the-brunch-club-memorial-weekend-yacht-party-tickets-616844527587
The Future of AI and Finance	An evening of discussion and networking on the future of AI and Finance	2023-06-29 18:00	2023-06-29 21:00	Rise, 43 W 23rd Street New York, NY 10010	New York	FALSE	https://www.eventbrite.com/e/the-future-of-ai-and-finance-tickets-628651673077
Blockchain Tech Summit (4th Annual)	The Blockchain Tech Summit is the world’s most exclusive event featuring hundreds of entrepreneurs, investors, pioneers, and creatives under one roof to address humanity’s greatest challenges via blockchain technology. The summit also serves to teach fundamentals of Blockchain technology, leading applications of Blockchain technology, and startup development strategies via exclusive workshop sessions with award winning experts.	2023-09-26 10:00	2023-09-26 13:00	TBA New York, NY 10036	New York	TRUE	https://www.eventbrite.com/e/blockchain-tech-summit-4th-annual-tickets-150405881039
10 TALKS TECH: EMPOWERING HARLEM'S FUTURE WITH TECHNOLOGY	Tech for Community Empowerment: Building a More Inclusive Future	2023-06-10 10:00	2023-06-10 16:00	The Schomburg Center, 515 Malcolm X Blvd New York, NY 10030	New York	FALSE	https://www.eventbrite.com/e/10-talks-tech-empowering-harlems-future-with-technology-tickets-600901160547
Is My Microphone On?	An urgent and lyrical play with music about the global climate emergency	2023-05-26 19:30	2023-05-26 21:00	The Center at West Park 165 West 86th Street Entrance on Amsterdam Ave. New York, NY 10024	New York	TRUE	https://www.eventbrite.com/e/is-my-microphone-on-tickets-619051298097
Willie Cole in Conversation with Adrienne Wheeler	Join us for a conversation with Newark-born artists Willie Cole and Adrienne Wheeler	2023-06-08 18:00	2023-06-08 19:30	Express Newark	Newark	FALSE	https://www.eventbrite.com/e/willie-cole-in-conversation-with-adrienne-wheeler-tickets-632956649377
From Compression to Convection: a Latent Variable Perspective	 A seminar on climate data science	 2023-05-25 15:30	 2023-05-25 17:00	 Columbia Innovation Hub Room 202, 2276 12th Avenue Room 206 New York, NY 10027	 New York	 TRUE	https://www.eventbrite.com/e/from-compression-to-convection-a-latent-variable-perspective-tickets-570820999977
Party Yacht Cruise Around NYC	Join us on a 100 ft, 2-deck private yacht and a huge indoor dance floor! Dance the night away on the Hottest Yacht Party Cruise with the best DJs while enjoying the the NYC Skyline!	2023-05-26 23:30	2023-05-27 03:00	2430 FDR Drive New York, NY 10010	New York	FALSE	https://www.eventbrite.com/e/party-yacht-cruise-around-nyc-tickets-605065867297
NYC Wide Research Symposium: Pathways to an HIV Cure	Hear from 9 experts in HIV research about the latest scientific advances in pathways for a cure for HIV/AIDS	2023-09-07 12:00	2023-09-07 17:00	The Rockefeller University 1230 York Avenue New York, NY 10065	New York	FALSE	https://www.eventbrite.com/e/nyc-wide-research-symposium-pathways-to-an-hiv-cure-tickets-601468848517
Billy Fleming, “Fire, Ice, and Ore”	Arctic Elements, Indigenous Resistance, and the Global Energy Transition	2023-06-22 19:00	2023-06-22 21:00	172 Classon Avenue Brooklyn, NY 11205	New York	TRUE	https://www.eventbrite.com/e/billy-fleming-fire-ice-and-ore-tickets-634990422447
The Global Beauty & Fashion Tech Forum 2023	Join us for Perfect Corp.'s Annual Forum as we gather the pioneers and visionaries behind the world's leading brands for a deep dive into the trends and technologies shaping the future of retail.	2023-06-26 11:30	2023-06-26 17:00	Convene 117 West 46th Street New York, NY 10036	New York	FALSE	https://www.eventbrite.com/e/the-global-beauty-fashion-tech-forum-2023-tickets-559576296767
Smart Buildings: Technology, Data & Climate	Discover how  digital technologies and data analytics are being used in buildings towards engineering, climate & data-driven decision-making	2023-07-14 12:00	2023-07-14 13:00	Bath Seminar Space, Buro Happold, 230 Lower Bristol Road, Bath, BA2 3DQ, United Kingdom	Bath	TRUE	https://www.eventbrite.com/e/smart-buildings-technology-data-climate-tickets-636363278697
Nano Tech Summit	The Nano Tech Summit is the world’s most exclusive event featuring Nano tech investors, entrepreneurs and influencers coming together to address the world’s greatest challenges via nano technology.	2023-09-25 10:00	2023-09-25 12:00	TBA New York, NY 10036	New York	TRUE.	https://www.eventbrite.com/e/nano-tech-summit-tickets-137497140649
Biosphere	Billy (Mark Duplass) and Ray (Sterling K. Brown) are lifelong best friends, brothers from another mother–and the last two men on earth.	2023-06-13 20:00	2023-06-13 23:30	850 Third Ave Brooklyn, NY 11232	New York	FALSE	https://www.eventbrite.com/e/biosphere-tickets-630305840737
The Nest Climate Campus, Official Event Partner of Climate Week NYC 2023	The Nest Climate Campus creates a community for accelerating climate action	2023-09-19 08:30	2023-09-21 17:30	445 11th Avenue New York, NY 10001	New York	TRUE	https://www.eventbrite.com/e/the-nest-climate-campus-official-event-partner-of-climate-week-nyc-2023-tickets-483373441977
ClimateSTEM Series Culminating Event! Share Successes & Learn from Others!	Join alumni from across our ClimateSTEM workshop series to share your teacher success stories and learn from others!	2023-06-04 14:00	2023-06-04 16:30	STEMteachersNYC, Via Zoom New York, NY 10027	New York	TRUE.	https://www.eventbrite.com/e/climatestem-series-culminating-event-share-successes-learn-from-others-tickets-559770076367
The Regenerative Travel Summit 2023	Join us to create the paradigm shift towards a regenerative future for the travel industry	2023-09-20 14:00	2023-09-20 19:00	80 Wythe Avenue Brooklyn, NY 11249	New York	TRUE	https://www.eventbrite.ch/e/the-regenerative-travel-summit-2023-tickets-633301019397
Kid Talk Teacher Talk - Elevating Student Discourse in Elementary STEM (ES)	This workshop takes place in-person at City College, NYC.	2023-07-31 09:00	2023-08-11 15:00	160 Convent Avenue New York, NY 10031	New York	TRUE	https://www.eventbrite.com/e/kid-talk-teacher-talk-elevating-student-discourse-in-elementary-stem-es-tickets-569891329307
Cleantech Soirée NYC	Network with driven peers, sip refreshing cocktails with an astonishing view, and create actionable solutions to solve climate change.	2023-05-27 18:00	2023-05-27 21:00	23 Lexington Avenue New York, NY 10010	New York	TRUE	https://www.eventbrite.com/e/cleantech-soiree-nyc-tickets-641707804317
TRB AMS020 2023 Summer Workshop - Sponsored By Stevens	Summary Workshop for the TRB AMS20 Committee on Resource Conservation and Recovery hosted by Stevens Institute	2023-06-20 00:00	2023-06-21 23:59	Stevens Institute of Technology, 1 Castle Point Terrace, Hoboken, NJ 07030	Hoboken	TRUE	https://www.eventbrite.com/e/trb-ams020-2023-summer-workshop-sponsored-by-stevens-tickets-562446973037
Cybersecurity & Resilience: 13th Cybersecurity Lecture Sponsored by AIG	Join us in-person for the 13th NYU Tandon Cyber Security Lecture Series sponsored by AIG! A  networking reception will follow.	2023-06-01 16:00	2023-06-01 18:30	Pfizer Auditorium, 5 MetroTech Center Brooklyn, NY 11201	Brooklyn	FALSE	https://www.eventbrite.com/e/cybersecurity-resilience-13th-cybersecurity-lecture-sponsored-by-aig-tickets-632841946297
Climate Fresk and Dinner at Eat Offbeat (Chelsea Market) - Junel Edition	Join us for this fun and informative Game + Dinner night that has already been played by >1 M people worldwide!!	2023-06-08 17:30	2023-06-08 21:00	 Chelsea Market, 75 9th Avenue New York, NY 10011	New York	TRUE	https://www.eventbrite.com/e/climate-fresk-and-dinner-at-eat-offbeat-chelsea-market-junel-edition-tickets-586113279597
